許可證字號,中文品名,英文品名,形狀,特殊劑型,顏色,特殊氣味,刻痕,外觀尺寸,標註一,標註二,外觀圖檔連結
"內衛藥製字第000990號","""尼斯可""硫酸奎尼丁膠囊","QUINIDINE SULFATE CAPSULES ""NYSCO""","膠囊","","白;;;白","","無","18","nysco","Q01","https://mcp.fda.gov.tw/insert/shapeImg/73eb813e-1a18-4317-bd7a-f9c55c55d922?c=o"
"內衛藥製字第001043號","博疏痛膠囊","PONSTAN KAPSEALS","膠囊","","藍;;;黃","","無","19","PARKE DAVIS","","https://mcp.fda.gov.tw/insert/shapeImg/7dc58b49-ec40-48c4-b50b-ebcfb62471af?c=o"
"內衛藥製字第001451號","''大豐''鹽酸消旋甲基麻黃鹼錠 25 毫克","DL-METHYLEPHEDRINE HCL TABLETS 25mg ''T.F.''","圓形","","白","","直線","7","","","https://mcp.fda.gov.tw/insert/shapeImg/1ab94d6a-4e83-4a95-81c9-8363d5041848?c=o"
"內衛藥製字第001503號","大益糖衣錠5毫克","TAEE S.C. TABLETS 5MG","圓形","","藍綠","","無","7","","","https://mcp.fda.gov.tw/insert/shapeImg/a9ac3368-3d0e-4a8b-9815-324161bf642d?c=o"
"內衛藥製字第001706號","""強生""氫氧化鋁膠錠３２４毫克","ALUMINUM HYDROXIDE TABLETS 324MG ""JOHNSON""","圓形","","白","","直線","11","JCP K3","","https://mcp.fda.gov.tw/insert/shapeImg/face39ab-f2c8-4c61-8366-8abd8be3aa9e?c=o"
"內衛藥製字第001727號","""強生""碳酸氫鈉錠","SODIUM BICARBONATE COMPOUND TABLETS ""JOHNSON""","圓形;;;圓形","","白;;;白","","直線;;;直線","10;;;10","JCP K2","","https://mcp.fda.gov.tw/insert/shapeImg/2b342395-5487-43a0-94a5-1adde1a332e4?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/cc51a8db-f99e-45ce-a6ac-18d2c7ea95ef?c=o"
"內衛藥製字第001728號","〝強生〞達姆明錠５０毫克","DIMENHYDRINATE TABLETS 50MG ""JOHNSON""","圓形","","白","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/9aac019d-5a7f-4bbd-8eca-adf383c0f476?c=o"
"內衛藥製字第001730號","""強生""妳樂淨膣錠","METROZOLE LOCAL TABLETS ""JOHNSON""","橢圓形","","白","","無","17.5","","","https://mcp.fda.gov.tw/insert/shapeImg/9220856c-aced-4a27-96ea-b3b9cb26c793?c=o"
"內衛藥製字第001736號","""強生"" 苯巴比特魯錠３０毫克","PHENOBARBITAL TABLETS 30MG ""JOHNSON""","圓形","","白","","十字","7.2","","","https://mcp.fda.gov.tw/insert/shapeImg/5ef33c3f-eff4-4282-be6b-1fbdcb29f139?c=o"
"內衛藥製字第001749號","“強生”縮水蘋果酸麥角新鹼膜衣錠０．２毫克","ERGOMETRINE MALEATE F.C. TABLETS 0.2MG ""JOHNSON""","圓形","","白","","直線","7","H 1","JCP","https://mcp.fda.gov.tw/insert/shapeImg/f7404ce1-b607-4fdf-95b2-2f0b5ae864a3?c=o"
"內衛藥製字第001752號","""強生""福樂你糖衣錠","FRONIL S.C. TABLETS ""JOHNSON""","圓形","","粉","","無","5.5","","","https://mcp.fda.gov.tw/insert/shapeImg/cec716d0-300e-40d4-94df-3f79c4944037?c=o"
"內衛藥製字第001774號","""強生"" 縮水蘋果酸氯芬尼拉明錠８毫克","CHLORPHENIRAMINE MALEATE TABLETS 8MG ""JOHNSON","六邊形","","藍","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/35f67543-025d-4dc6-a513-e7784e50064d?c=o"
"內衛藥製字第001780號","""強生""妙治胃益錠","BENTYLINE-S TABLETS ""JOHNSON""","圓形","","白","","無","12.8","","","https://mcp.fda.gov.tw/insert/shapeImg/7c6e1bb4-2bfa-4247-b0b1-a838388c725e?c=o"
"內衛藥製字第001783號","""強生""抑炎源膜衣錠","UROGEN F.C. TABLETS ""JOHNSON""","圓形","","棕","","無","7.5","","","https://mcp.fda.gov.tw/insert/shapeImg/af0d5a62-516c-46a1-afd0-ba385dc0bd50?c=o"
"內衛藥製字第001790號","""強生""抑炎錠200毫克","MUSCOL TABLETS 200MG ""JOHNSON""","圓形","","綠","","直線","9","JCP F2","","https://mcp.fda.gov.tw/insert/shapeImg/866a04b1-44b6-4b18-a4b3-9fd0f7fb5587?c=o"
"內衛藥製字第001794號","""強生""滯尿通錠10毫克","BETHANECHOL CHLORIDE TABLETS 10MG ""JOHNSON""","三角形","","白","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/d9efa637-3f36-48b8-8f50-598a0786e96d?c=o"
"內衛藥製字第001796號","""強生""甲基睪丸素錠１０公絲","METHYLTESTOSTERONE TABLETS 10MG ""JOHNSON""","圓形","","白","","直線","6","I 5","","https://mcp.fda.gov.tw/insert/shapeImg/ea027688-1d1b-42e7-85eb-5754d0504124?c=o"
"內衛藥製字第001807號","""強生""倍樂寧－Ｒ錠","PELONINE-R TABLETS ""JOHNSON""","五邊形","","黃","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/a4c02618-aaa6-4f0d-a483-94dc87cc3d57?c=o"
"內衛藥製字第001808號","""強生""次碳酸鉍錠324毫克","BISMUTH SUBCARBONATE TABLETS 324MG ""JOHNSON""","圓形","","白","","直線","10","","","https://mcp.fda.gov.tw/insert/shapeImg/6ced5885-7995-4b09-a0be-25e42c9439e9?c=o"
"內衛藥製字第001811號","""強生"" 妳樂淨內服膜衣錠","METROZOLE ORAL F.C. TABLETS ""JOHNSON""","圓形","","白","","無","11","","","https://mcp.fda.gov.tw/insert/shapeImg/cbc7b4e5-f495-4dcc-8711-f537f484879f?c=o"
"內衛藥製字第001816號","""強生""氫氧化鎂錠324毫克","MAGNESIUM HYDROXIDE TABLETS 324MG ""JOHNSON""","圓形","","白","","直線","12","","","https://mcp.fda.gov.tw/insert/shapeImg/c5c12370-a151-48d6-8f73-9ee0872e547e?c=o"
"內衛藥製字第001817號","""強生"" 抗咳錠20毫克","NOSCOTIN TABLETS 20MG ""JOHNSON""","橢圓形","","白","","直線","10.2","","","https://mcp.fda.gov.tw/insert/shapeImg/8425b2a2-ea7c-4188-9c54-2868e415c01f?c=o"
"內衛藥製字第001820號","""強生""妙治胃錠","BENTYLINE TABLETS ""JOHNSON""","圓形","","白","","直線","12","JCP K22","","https://mcp.fda.gov.tw/insert/shapeImg/21741d62-a410-4e7c-b5f1-d9968a537e67?c=o"
"內衛藥製字第001821號","“強生”鹽酸口比多辛錠５０毫克","PYRIDOXINE HCL TABLETS 50MG ""JOHNSON""","圓形","","白","","無","7.2","JCP","O11","https://mcp.fda.gov.tw/insert/shapeImg/a23a8944-5fe1-4e79-b407-9e24f3721bef?c=o"
"內衛藥製字第001822號","維他葡萄糖鐵糖衣錠","FERROUS GLUCO-B S.C. TABLETS","圓形","","紫","","無","11","","","https://mcp.fda.gov.tw/insert/shapeImg/97476781-4feb-4c91-8c68-47f6bd3ee1e5?c=o"
"內衛藥製字第001849號","""強生""抑咳平錠10毫克","DELCOPAN TABLETS 10MG ""JOHNSON""","圓形","","白","","無","8","","","https://mcp.fda.gov.tw/insert/shapeImg/df64f64f-8d90-4679-b4e7-a37a3001891d?c=o"
"內衛藥製字第002213號","""強生"" 倍樂寧錠","PELONINE TABLETS ""JOHNSON""","圓形","","白","","直線","7.2","I 13","JCP","https://mcp.fda.gov.tw/insert/shapeImg/3ecfc2ed-964c-4779-b733-d21cd5382f5e?c=o"
"內衛藥製字第002253號","""大豐""舒肝膽錠50毫克","URSOCID TABLETS ""T.F.""","圓形","","白","","直線","9","TF UC","","https://mcp.fda.gov.tw/insert/shapeImg/083d0f85-c2c2-423a-a6a8-797f0acf32e5?c=o"
"內衛藥製字第002347號","旅佳錠","LIGA TABLETS","圓形","","黃","","無","8","M","","https://mcp.fda.gov.tw/insert/shapeImg/73c84b77-6973-43a3-9fb1-2b08fa098114?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/93dd5957-0d3d-48b4-bc8f-cff004c0d0af_img_1?c=o"
"內衛藥製字第002473號","""福元"" 恩得美膠囊25毫克","INDOME CAPSULES 25MG ""F.Y.""","膠囊","","藍;;;白","","無","16","FY C008","","https://mcp.fda.gov.tw/insert/shapeImg/265ce80e-872b-4ede-a8bc-889d4f0c63d0?c=o"
"內衛藥製字第002589號","""強生""鹽酸罌生僉錠３０公絲","PAPAVERINE HCL TABLETS 30MG ""JOHNSON""","橢圓形","","粉","","直線","10.1","","","https://mcp.fda.gov.tw/insert/shapeImg/ec9ae265-4019-411c-8041-b1b9c4135a53?c=o"
"內衛藥製字第002596號","胃治平錠","NEO-WEITUPIN TAB","圓形","","綠","","直線","10","H H P CO LTD","","https://mcp.fda.gov.tw/insert/shapeImg/31eeed38-0ce9-4dc7-99df-4934d67fc196_img_1?c=o"
"內衛藥製字第002597號","克利斯錠25毫克","KOLISIDE TABLETS 25MG","圓形","","白","","直線","7","H H P","","https://mcp.fda.gov.tw/insert/shapeImg/09a03bc2-47d3-4997-9b40-1a295bd41664_img_1?c=o"
"內衛藥製字第003159號","奧林比克荷爾蒙膠囊","OLYMPIC HORMONE CAPSULES","膠囊","","橘;;;白","","無","22","","OLYMPIC HORMONE","https://mcp.fda.gov.tw/insert/shapeImg/2bef9ce5-7a49-4d01-b9e9-a9c635511464?c=o"
"內衛藥製字第003449號","""應元""塩酸麻黃/錠２５毫克","TABELLAE EPHEDRINI HYDROCHLORIDI ""Y.Y.""","圓形","","粉","","無","7","Y P","103","https://mcp.fda.gov.tw/insert/shapeImg/f1f7375e-4344-496c-93cc-9176f7906d29?c=o"
"內衛藥製字第003633號","氨基非林錠","TABELLAE AMINOPHYLLINAE 100mg ""Y.Y.""","圓形","","白","","直線","8","YP 109","","https://mcp.fda.gov.tw/insert/shapeImg/a40a2b0e-066a-4bf1-9d75-c0f57e8b4f49_img_1?c=o"
"內衛藥製字第003676號","""強生"" 速入眠錠","SLEEPIN TABLETS ""JOHNSON""","三角形","","藍","","直線","6.2","","","https://mcp.fda.gov.tw/insert/shapeImg/fdc12429-6698-49ea-b208-552198dd4d4f?c=o"
"內衛藥製字第003893號","培他旺糖衣錠","PEITAON S.C. TABLETS","圓形","","紅","","無","9","","","https://mcp.fda.gov.tw/insert/shapeImg/a0bd0cfe-313a-4100-9dfb-a14f5cfa73b0?c=o"
"內衛藥製字第004085號","合利他命Ｆ５０糖衣錠","ALINAMIN-F 50 S.C. TABLETS","圓形","","黃","","無","9","F50","","https://mcp.fda.gov.tw/insert/shapeImg/43e89810-7a72-4a4b-bdda-7eda5c11d11e?c=o"
"內衛藥製字第004189號","""強生""康胃錠","S.T. TABLETS ""JOHNSON""","圓形","","黃","","直線","10","","","https://mcp.fda.gov.tw/insert/shapeImg/cbd352c4-0136-43aa-b9cb-03290fe71309?c=o"
"內衛藥製字第004245號","""應元""ＤＬ－甲基鹽酸麻黃錠","TABELLAE DL-METHYL EPHEDRINE HCL ""Y.Y.""","圓形","","白","","無","7","Y P","112","https://mcp.fda.gov.tw/insert/shapeImg/ec9ae3c7-2f5c-436f-8fd2-c73549397b83_img_1?c=o"
"內衛藥製字第004385號","“強生”穩舒眠膜衣錠12.5毫克","WINSUMIN F.C. Tablets 12.5mg","圓形","","紫","","直線","8.2","","","https://mcp.fda.gov.tw/insert/shapeImg/80fcd970-3780-4e60-8dd3-8f8479a75c90?c=o"
"內衛藥製字第004492號","“華琳”袪風濕龍錠","PRESOLONE TABLETS “H.L.”","圓形","","白","","無","7","FY T015","","https://mcp.fda.gov.tw/insert/shapeImg/97953ef2-6447-42fd-9369-69f95fda6bb3?c=o"
"內衛藥製字第004497號","“華琳”敵掃風濕錠","DEXAMETHASONE TABLETS “H.L.”","圓形","","白","","無","8","FY T008","","https://mcp.fda.gov.tw/insert/shapeImg/b51daa1d-dd35-40fa-84a2-377b1bd23ad1?c=o"
"內衛藥製字第004512號","“福元”得美爽錠０．５毫克","DEMESON TABLETS 0.5MG ""F.Y.""","圓形","","橘","","無","7","FY T008","","https://mcp.fda.gov.tw/insert/shapeImg/2e57cbae-4e8f-4b93-9c70-86b897124190?c=o"
"內衛藥製字第004517號","""福元"" 可靜錠2毫克","COLSIN TABLETS 2MG ""F.Y.""","圓形","","橘","","直線","8","FY T016","","https://mcp.fda.gov.tw/insert/shapeImg/1d10ffcc-5c16-4ea8-995b-cd8f5515afd0?c=o"
"內衛藥製字第004707號","“華琳”舒肌鬆錠","SORAFLEX TABLETS “H.L.”","圓形","","白","","直線","9","","","https://mcp.fda.gov.tw/insert/shapeImg/196fcade-d6e3-4f67-9c74-32fffd523586?c=o"
"內衛藥製字第004781號","美克旅鎮錠25毫克","Meclizine HCl Tablets 25mg ""F.Y.""","圓形","","白","","無","8","FY T069","","https://mcp.fda.gov.tw/insert/shapeImg/fe235438-489a-4c2b-b1df-9e249841ee1b?c=o"
"內衛藥製字第004789號","抗治敏膠囊","CO-TIMINE CAPSULES","膠囊","","綠;;;黃","","無","16","FY C002","FY C002","https://mcp.fda.gov.tw/insert/shapeImg/37db8c5b-771c-465b-8efb-475e8d16e8e6?c=o"
"內衛藥製字第004875號","""強生"" 大安源錠２毫克","DIAPINE TABLETS 2MG ""JOHNSON""","圓形","","白","","無","7.2","2","","https://mcp.fda.gov.tw/insert/shapeImg/0d9f7132-70ca-4bf8-863e-bfd3aabed6e4?c=o"
"內衛藥製字第004928號","“杏輝”沛多活杏必糖衣錠","DailyCare Actibest S.C. Tablets","圓形","","黃","","無","9","","","https://mcp.fda.gov.tw/insert/shapeImg/7cc32445-1a91-4e9f-9f8b-652c633e44ae_img_1?c=o"
"內衛藥製字第005001號","""福元""日日通腸溶錠５毫克","ZU ZU TON TABLETS 5MG ""F.Y.""","圓形","","黃","","無","6","","","https://mcp.fda.gov.tw/insert/shapeImg/02aecab5-2cdf-4da9-b94f-e4b508cb9a9f?c=o"
"內衛藥製字第005014號","""衛肯"" 去氫羥腎上腺皮質素片５毫克","PREDNISOLONE 5MG TABLETS ""WELCAN""","圓形","","白","","直線","8","HC 3","","https://mcp.fda.gov.tw/insert/shapeImg/2a561550-2ff4-4e61-9438-bbe39b1f3b63?c=o"
"內衛藥製字第005038號","""強生"" 大益神膠囊","DIPOXIDO CAPSULES ""JOHNSON""","膠囊","","黑;;;綠","","無","15","","","https://mcp.fda.gov.tw/insert/shapeImg/67b80ba3-f56d-437a-99cc-0f3820fbd398?c=o"
"內衛藥製字第005040號","""強生""蘋果酸丙氯陪拉辛錠","PROCHLORPERAZINE MALEATE TABLETS ""JOHNSON""","圓形","","黃","","直線","7","JCP G3","","https://mcp.fda.gov.tw/insert/shapeImg/7ad9661c-d01f-4aaa-9bc8-ef090e2aa4c8?c=o"
"內衛藥製字第005042號","""強生"" 抑僂寧膠囊","INDOMESA CAPSULES ""JOHNSON""","膠囊","","綠;;;白","","無","14","","","https://mcp.fda.gov.tw/insert/shapeImg/68d71998-be00-43b0-a25b-f9589be89bef?c=o"
"內衛藥製字第005124號","柏那膜衣錠10毫克","VENA F.C. TABLETS","圓形","","白","","無","7","","","https://mcp.fda.gov.tw/insert/shapeImg/4e7282d3-8de5-4d2b-ba7a-185de7701614?c=o"
"內衛藥製字第005219號","""福元"" 得利根糖衣錠","TRICON S.C. TABLETS ""F.Y.""","圓形","","白","","無","12","","","https://mcp.fda.gov.tw/insert/shapeImg/e18b2cf1-3bee-4a02-aa18-574020f9feef?c=o"
"內衛藥製字第005223號","複方能治敏糖衣錠","LONTOMIN COMPOUND S.C. TABLETS ""F.Y.""","圓形","","棕","","無","11","","","https://mcp.fda.gov.tw/insert/shapeImg/9aca94e9-d758-4c75-9b8e-de9a4bf55944?c=o"
"內衛藥製字第005225號","""福元"" 碳酸氫鈉片０．３克","SODIUM BICARBONATE TABLETS 0.3 GM ""F.Y.""","圓形","","白","","無","10","FY T021","","https://mcp.fda.gov.tw/insert/shapeImg/0b9145d5-c61c-42e0-b626-03b0cf5e1d52?c=o"
"內衛藥製字第005226號","""福元""碳酸氫鈉片０．６公克","SODIUM BICARBONATE TABLETS 0.6 GM ""F.Y.""","圓形","","白","","無","10","FY T019","","https://mcp.fda.gov.tw/insert/shapeImg/b945fff8-ea6f-4530-ae37-10065a1a5ae9?c=o"
"內衛藥製字第005228號","""福元""彼脫拉敏錠10毫克","HYDRAMINE TABLETS 10MG ""F.Y.""","圓形","","白","","無","7","FY T023","","https://mcp.fda.gov.tw/insert/shapeImg/ee3e3ac2-8811-4bba-9968-d59495700249?c=o"
"內衛藥製字第005236號","比麗爽錠","PYRESON TABLETS","圓形","","黃","","無","6","FY T015","","https://mcp.fda.gov.tw/insert/shapeImg/fefdaf09-2899-4ed1-bde5-a512bf9f4640?c=o"
"內衛藥製字第005245號","""福元"" 可靜錠５毫克","COLSIN 5MG TABLETS ""F.Y.""","圓形","","黃","","直線","8","FY T029","","https://mcp.fda.gov.tw/insert/shapeImg/6df186c0-ebd5-485c-840a-cad409bcd9b4?c=o"
"內衛藥製字第005250號","胃麗菜Ｕ錠","WEIRETSAL U TABLETS","圓形","","黃","","無","11","FY T033","U","https://mcp.fda.gov.tw/insert/shapeImg/a2145d34-46c9-4d86-a36c-f3c89aafd5ae?c=o"
"內衛藥製字第005277號","""強生""益安錠","A,A. TABLETS ""JOHNSON""","圓形","","棕","","直線","11","","","https://mcp.fda.gov.tw/insert/shapeImg/3d2e672d-0bc0-4cc0-a824-431098bcf045?c=o"
"內衛藥製字第005508號","納利淨錠０．５克","NALIDIN TABLETS 0.5GM ""F.Y.""","圓形","","白","","無","12","FY T066","","https://mcp.fda.gov.tw/insert/shapeImg/37a231bb-70c0-4a19-b0ec-ea67ff8edfb2?c=o"
"內衛藥製字第005616號","""強生""穩舒眠膜衣錠25毫克","Winsumin F.C. Tablets 25mg ""JOHNSON""","圓形","","藍","","直線","8.2","","","https://mcp.fda.gov.tw/insert/shapeImg/307816b3-1828-4709-a5fe-3df3445e844f?c=o"
"內衛藥製字第006021號","""強生"" 抑疹糖衣錠","O.G.S.C. TABLETS ""JOHNSON""","圓形","","黑","","無","11","","","https://mcp.fda.gov.tw/insert/shapeImg/0f271101-c64a-4d14-841a-339d1892eb60?c=o"
"內衛藥製字第006067號","""信東""美達研注射液５０％","VITAGEN INJECTION 50%","","","","","","","","","https://mcp.fda.gov.tw/insert/shapeImg/21d5120a-0f25-43ed-b0e2-f0f5199e2327?c=o"
"內衛藥製字第006306號","得舒爽片","DEXASON TABLETS 0.5MG ""LITA""","圓形","","黃","","無","6.5","L","","https://mcp.fda.gov.tw/insert/shapeImg/6e1a1bb3-aa2f-4e68-8a32-5705e35ff358?c=o"
"內衛藥製字第007380號","合利他命－Ｆ１００糖衣錠","ALINAMIN-F 100 S.C. TABLETS","圓形","","粉;;;粉","","無","","","","https://mcp.fda.gov.tw/insert/shapeImg/63a9ec43-4845-4d8c-9dd0-f201f17070be?c=o"
"內衛藥製字第007592號","克瀉寧錠","K.B.T. TABLETS","圓形","","灰","","直線","9.5","SK KBT","","https://mcp.fda.gov.tw/insert/shapeImg/3c326a88-f9ef-450c-bdba-d866d7375401?c=o"
"內衛藥製字第007870號","普樂治片","PROCIL TABLETS","圓形;;;圓形","","白;;;白","","直線;;;直線","8","nysco","","https://mcp.fda.gov.tw/insert/shapeImg/86da9fac-0852-4cb6-90fd-3402170c3f47?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/f2f6a0f1-a942-4004-98a4-07d7bfdde0e3?c=o"
"內衛藥製字第008138號","""強生""多利固財錠","TRICOZIDE TABLETS ""JOHNSON""","圓形","","紫","","直線","6.4","","","https://mcp.fda.gov.tw/insert/shapeImg/6942883b-bdb5-4652-b8e6-9330db1d966a?c=o"
"內衛藥製字第009094號","喘息錠","SMA TABLETS","圓形","","白","","無","9","YK","","https://mcp.fda.gov.tw/insert/shapeImg/763d9039-eaa0-4ed6-8c66-39fd7a6f0c08?c=o"
"內衛藥製字第010468號","樂平片","DUPIN TABLETS","圓形","","黃","","直線","6.4","","","https://mcp.fda.gov.tw/insert/shapeImg/8288322c-c24d-48d9-af64-437b5accb03e?c=o"
"內衛藥製字第010479號","""衛肯"" 氨基非林片0.1公克","AMINOPHYLLINE 0.1GM TABLETS ""WELCAN""","圓形","","白","","直線","8","","","https://mcp.fda.gov.tw/insert/shapeImg/c84a5c5f-b07a-44ae-bcdf-a60e97dff79e?c=o"
"內衛藥製字第011607號","""信東""去氫羥化腎上腺皮質素錠５毫克","Prednisolone Tablets ""TBC""","圓形","","粉","","直線","8","ST 401","","https://mcp.fda.gov.tw/insert/shapeImg/afd347b6-37bb-4be2-bb39-6158e34e5776?c=o"
"內衛藥製字第011749號","暈動藥","M.S.P. TABLETS ""CBC""","圓形","","黃","","直線","9","cBc","","https://mcp.fda.gov.tw/insert/shapeImg/6360f761-7168-4cbd-a07b-593058b40d78_img_1?c=o"
"內衛藥製字第012122號","敏立眠膠囊","Minriman CAPSULES","膠囊","","橘;;;黃","","無","17","","","https://mcp.fda.gov.tw/insert/shapeImg/e156c5c5-9778-499b-90bf-f4e22e3b99db?c=o"
"內衛藥製字第012707號","必多命","BEETOMIN TABLETS 100MG ""CBC""","圓形","","白","","直線","9","cBc","","https://mcp.fda.gov.tw/insert/shapeImg/7f3b3be4-656b-4b8b-995c-dbbc1cfd3f52_img_1?c=o"
"內衛藥製字第012714號","""生化"" 導美睡片五公絲","DOMISUI-N TABLETS 5MG ""CBC""","圓形","","白","","直線","13","cBc","","https://mcp.fda.gov.tw/insert/shapeImg/a0751483-fb43-4135-ba85-6c941bd2ab40_img_1?c=o"
"內衛藥製字第012717號","“中生”優散痛錠","GEITON TABLETS ""CBC""","圓形","","白","","直線","12","cBc","","https://mcp.fda.gov.tw/insert/shapeImg/f4d7ce6a-cf7c-4a6e-b41d-c1ab94239172_img_1?c=o"
"內衛藥製字第012740號","阿米諾非林片","AMINOPHYLLIN TABLETS ""CBC""","圓形","","白","","直線","9","cBc","","https://mcp.fda.gov.tw/insert/shapeImg/6e2c2175-2405-4051-8791-0c52505cbaac_img_1?c=o"
